Psycho-mental (auch theoretisch), Spirituelles;PEP;;;
Ernährung  und Kochen;PEP;;;
Gesundheit, Ärzte;PEP;;;
SozCom und Netzwerke;PEP;;;
Liebe & Partnerschaft;PEP;;;
Sport: Ausdauer, Physio, Yoga;PEP;;;
Webpräsenz;PEP;;;
"Freizeit (Unternehmungen, Reisen, SPA, ;;;;;;Spaß & Erholung)";PEP;;;
Management / Orga;PEP;;;
;;;;
Labor;IT;;;
Entwicklung;IT;;;
Infrastruktur;IT;;;
... andere berufl. Projekte (VHS, Mathe, ...);IT;;;
;;;;
Langfrist Alternative (altergerechtes Wohnen etc.);Wohnung / Auto;;;
Haushalt (Putzen, Instandhaltung) (regelmäßig);Wohnung / Auto;;;
Verbesserung (Balkon, Arbeitszimmer);Wohnung / Auto;;;
;;;;
BANA;BANA;;;
;;;;
Anlagen;Finanzen;;;
Haushalt / Admin;Finanzen;;;
Rente;Finanzen;;;
;;;;
Foto, Video:Technik, Gestaltung;Kreatives, Kultur;;;
VHS Ausstellugsprojekt;Kreatives, Kultur;;;
Schreiben, Keyboard, Malen / Zeichnen;Kreatives, Kultur;;;
